02-01-2023,311
02-01-2023,243
02-01-2023,240
02-01-2023,355
03-01-2023,576
03-01-2023,168
03-01-2023,681
03-01-2023,621
04-01-2023,623
04-01-2023,516
04-01-2023,476
04-01-2023,384
05-01-2023,603
05-01-2023,310
05-01-2023,280
05-01-2023,615
06-01-2023,294
06-01-2023,118
06-01-2023,430
06-01-2023,685
07-01-2023,184
07-01-2023,343
07-01-2023,173
07-01-2023,249
08-01-2023,313
08-01-2023,581
08-01-2023,646
08-01-2023,359
09-01-2023,330
09-01-2023,633
09-01-2023,479
09-01-2023,654
10-01-2023,101
10-01-2023,588
10-01-2023,275
10-01-2023,202
11-01-2023,666
11-01-2023,331
11-01-2023,112
11-01-2023,150
12-01-2023,368
12-01-2023,450
12-01-2023,216
12-01-2023,610
13-01-2023,478
13-01-2023,362
13-01-2023,237
13-01-2023,399
14-01-2023,515
14-01-2023,300
14-01-2023,415
14-01-2023,344
15-01-2023,646
15-01-2023,454
15-01-2023,378
15-01-2023,133
16-01-2023,538
16-01-2023,608
16-01-2023,444
16-01-2023,389
17-01-2023,149
17-01-2023,535
17-01-2023,121
17-01-2023,374
18-01-2023,245
18-01-2023,690
18-01-2023,496
18-01-2023,412
19-01-2023,603
19-01-2023,567
19-01-2023,517
19-01-2023,488
20-01-2023,632
20-01-2023,483
20-01-2023,508
20-01-2023,376
21-01-2023,326
21-01-2023,476
21-01-2023,506
21-01-2023,657
22-01-2023,345
22-01-2023,161
22-01-2023,678
22-01-2023,408
23-01-2023,106
23-01-2023,476
23-01-2023,598
23-01-2023,257
24-01-2023,520
24-01-2023,592
24-01-2023,244
24-01-2023,216
25-01-2023,289
25-01-2023,401
25-01-2023,205
25-01-2023,158
26-01-2023,575
26-01-2023,221
26-01-2023,391
26-01-2023,398
